name,score,genre1,genre2,genre3,duration,release,rating,country,language,sound,color,ratio,budget,gross
Una mente maravillosa,8.2,Biography,Drama,#N/A,135,22 February 2002,A,USA,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$58,000,000","$316,791,257"
El lobo de Wall Street,8.2,Biography,Crime,Drama,180,17 January 2014,16,USA,English,Datasat|Dolby Digital|Dolby Surround 7.1,Color,2.39 : 1,"$100,000,000","$392,000,694"
La gran evasión,8.2,Adventure,Drama,History,172,12 November 1963,18,USA,English,4-Track Stereo|Mono,Color,2.35 : 1,"$4,000,000","$227,940"
El laberinto del fauno,8.2,Drama,Fantasy,War,118,11 October 2006,18,Mexico,Spanish,DTS|Dolby Digital|SDDS|Dolby Surround 7.1,Color,1.85 : 1,"$19,000,000","$83,850,267"
Pozos de ambición,8.2,Drama,#N/A,#N/A,158,15 February 2008,13,USA,English,SDDS|Dolby Digital|DTS,Color,2.39 : 1,"$25,000,000","$76,182,388"
El secreto de sus ojos,8.2,Drama,Mystery,Romance,129,25 September 2009,7,Argentina,Spanish,Dolby Digital,Color,2.35 : 1,"$2,000,000","$35,079,650"
Lock & Stock,8.2,Action,Comedy,Crime,107,9 April 1999,18,UK,English,Dolby Digital,Color,1.85 : 1,"GBP960,000","$3,753,929"
¿Vencedores o vencidos?,8.2,Drama,War,#N/A,179,18 December 1961,18,USA,English,Mono,Black and White,1.85 : 1,"$3,000,000","$12,180"
Toro salvaje,8.2,Biography,Drama,Sport,129,15 March 1981,13,USA,English,Dolby Stereo,Black and White,1.85 : 1,"$18,000,000","$23,402,427"
Mi vecino Totoro,8.2,Animation,Family,Fantasy,86,16 April 1988,A,Japan,Japanese,Dolby Stereo,Color,1.66 : 1,"$3,700,000","$30,550,727"
El tesoro de Sierra Madre,8.2,Adventure,Drama,Western,126,24 January 1948,#N/A,USA,English,Mono,Black and White,1.37 : 1,"$3,000,000","$5,014,000"
Crimen perfecto,8.2,Crime,Thriller,#N/A,105,29 May 1954,A,USA,English,Mono,Color,1.66 : 1,"$1,400,000","$18,816"
El padre,8.3,Drama,#N/A,#N/A,97,23 December 2020,7,UK,English,Dolby Digital,Color,2.39 : 1,#N/A,"$2,041,134"
Shutter Island,8.2,Mystery,Thriller,#N/A,138,19 February 2010,13,USA,English,SDDS|Dolby Digital|DTS,Color,2.39 : 1,"$80,000,000","$294,805,697"
Tres anuncios en las afueras,8.1,Comedy,Crime,Drama,115,12 January 2018,16,UK,English,Dolby Digital,Color,2.35 : 1,"$15,000,000","$160,192,267"
La quimera del oro,8.2,Adventure,Comedy,Drama,95,13 July 1925,A,USA,None,Mono|Silent,Black and White,1.33 : 1,"$923,000","$26,916"
Chinatown,8.1,Drama,Mystery,Thriller,130,16 December 1974,A,USA,English,Mono,Color,2.35 : 1,"$6,000,000","$29,225,935"
Mi padre y mi hijo,8.3,Drama,Family,#N/A,112,18 November 2005,#N/A,Turkey,Turkish,Dolby Digital,Color,1.85 : 1,#N/A,"$18,612,999"
No es país para viejos,8.1,Crime,Drama,Thriller,122,8 February 2008,18,USA,English,SDDS|Dolby Digital|DTS,Color,2.39 : 1,"$25,000,000","$171,627,166"
V de Vendetta,8.2,Action,Drama,Sci-Fi,132,7 April 2006,12,USA,English,DTS|Dolby Digital|SDDS|Sonics-DDP|Dolby Atmos,Color,2.35 : 1,"$54,000,000","$132,511,035"
Del revés ,8.1,Animation,Adventure,Comedy,95,17 July 2015,A,USA,English,Dolby Digital|Datasat|Dolby Atmos|SDDS|Dolby Surround 7.1|Auro 11.1,Color,1.85 : 1,"$175,000,000","$858,071,350"
La cosa,8.1,Horror,Mystery,Sci-Fi,109,25 June 1982,13,USA,English,Dolby Stereo|70 mm 6-Track,Color,2.39 : 1,"$15,000,000","$19,632,053"
El hombre elefante,8.1,Biography,Drama,#N/A,124,10 October 1980,14,USA,English,Mono|Dolby Stereo,Black and White,2.35 : 1,"$5,000,000","$26,023,706"
El séptimo sello,8.2,Drama,Fantasy,History,96,17 July 1991,13,Sweden,Swedish,Mono,Black and White,1.37 : 1,"$150,000","$230,571"
El sexto sentido,8.1,Drama,Mystery,Thriller,107,14 January 2000,13,USA,English,DTS|Dolby Digital|SDDS,Color,1.85 : 1,"$40,000,000","$672,806,292"
Warrior,8.2,Action,Drama,Sport,140,9 September 2011,12,USA,English,Dolby Digital|Datasat|SDDS|Dolby Surround 7.1|Dolby Atmos,Color,2.35 : 1,"$25,000,000","$23,308,615"
Jurassic Park ,8.1,Action,Adventure,Sci-Fi,127,30 September 1993,13,USA,English,DTS|Dolby Digital|SDDS|Datasat|DTS,Color,1.37 : 1,"$63,000,000","$1,033,928,303"
Klaus,8.2,Animation,Adventure,Comedy,96,15 November 2019,A/i,Spain,English,Dolby Atmos,Color,1.85 : 1,"$40,000,000",#N/A
Trainspotting,8.1,Drama,#N/A,#N/A,93,23 September 1996,18,UK,English,Dolby SR,Color,1.85 : 1,"GBP1,500,000","$16,596,594"
El show de Truman,8.1,Comedy,Drama,#N/A,103,30 October 1998,A,USA,English,DTS|Dolby Digital,Color,1.85 : 1,"$60,000,000","$264,118,201"
Lo que el viento se llevó,8.1,Drama,History,Romance,238,17 January 1940,A,USA,English,Mono,Color,1.37 : 1,"$3,977,000","$402,352,579"
Buscando a Nemo,8.1,Animation,Adventure,Comedy,100,28 November 2003,A,USA,English,DTS|Dolby Digital|SDDS|Dolby Atmos|Dolby Surround 7.1,Color,1.85 : 1,"$94,000,000","$940,352,645"
Stalker,8.2,Drama,Sci-Fi,#N/A,162,5 November 1984,A,Soviet Union,Russian,Mono,Color,1.37 : 1,"RUR6,000,000","$303,815"
Memories of Murder ,8.1,Crime,Drama,Mystery,131,21 May 2004,18,South Korea,Korean,Dolby Digital,Color,1.85 : 1,"$2,800,000","$1,159,644"
Fresas salvajes,8.2,Drama,Romance,#N/A,91,7 February 1963,7,Sweden,Swedish,Mono,Black and White,1.37 : 1,#N/A,"$14,524"
Kill Bill: Volumen 1,8.1,Action,Crime,Drama,111,5 March 2004,18,USA,English,DTS|Dolby Digital|SDDS,Color,2.39 : 1,"$30,000,000","$180,906,076"
Blade Runner,8.1,Action,Sci-Fi,Thriller,117,21 August 1982,13,USA,English,70 mm 6-Track|Dolby Stereo|12-Track Digital Sound,Color,2.39 : 1,"$28,000,000","$41,676,878"
Fargo,8.1,Crime,Drama,Thriller,98,20 June 1996,18,USA,English,Dolby SR,Color,1.85 : 1,"$7,000,000","$60,611,975"
El puente sobre el río Kwai,8.1,Adventure,Drama,War,161,11 October 1957,A,UK,English,70 mm 6-Track|Mono|4-Track Stereo|Dolby Atmos,Color,2.35 : 1,"$3,000,000","$27,200,000"
Relatos salvajes,8.1,Comedy,Drama,Thriller,122,17 October 2014,16,Argentina,Spanish,Dolby Surround 7.1,Color,2.35 : 1,"$3,300,000","$30,642,704"
Cuentos de Tokio,8.2,Drama,#N/A,#N/A,136,3 November 1953,A,Japan,Japanese,Mono,Black and White,1.37 : 1,#N/A,"$40,468"
